# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
bimonthly;;bi-month-ly;;"b2-mVnT-lI;;3
bind;;bind;;b2nd;;1
binder;;bind-er;;b2n-d@R;;2
binding;;bind-ing;;b2n-dIN;;2
binding;;bind-ing;;b2n-dIN;;2
bindweed;;bind-weed;;b2nd-wid;;2
bine;;bine;;b2n;;1
bingo;;bin-go;;bIN-g5;;2
binocular;;bin-oc-u-lar;;"b2-nQ-kjU-l@R;;4
binomial;;bi-no-mi-al;;"b2-n5-mj@l;;3
biochemistry;;bi-o-chem-is-try;;"b2-5-kE-mI-strI;;5
biographer;;bi-og-ra-pher;;b2-Q-gr@-f@R;;4
biographic;;bi-o-graph-ic;;"b2-5-gr{-fIk;;4
biographically;;bi-o-graph-i-cal-ly;;"b2-5-gr{-fI-k@-lI;;6
biological;;bi-o-log-i-cal;;"b2-5-lQ-_I-kP;;5
biologically;;bi-o-log-i-cal-ly;;"b2-5-lQ-_I-k@-lI;;6
biologist;;bi-ol-o-gist;;b2-Q-l@-_Ist;;4
bionic;;bi-on-ic;;b2-Q-nIk;;3
bioscope;;bi-o-scope;;b2-@s-k5p;;3
biosphere;;bi-o-sphere;;b2-5-"sf7R;;3
biotic;;bi-ot-ic;;b2-Q-tIk;;3
biplane;;bi-plane;;b2-pl1n;;2
birch;;birch;;b3J;;1
birch;;birch;;b3J;;1
bird-brained;;bird--brained;;b3d-br1nd;;2
bird-cage;;bird--cage;;b3d-k1_;;2
bird dog;;bird dog;;b3d-dQg;;2
birdlime;;bird-lime;;b3d-l2m;;2
bird of paradise;;bird of par-a-dise;;"b3d-Qv-p{-r@-d2s;;5
bird of passage;;bird of pas-sage;;"b3d-Qv-p{-sI_;;4
bird of prey;;bird of prey;;"b3d-Qv-pr1;;3
birdseed;;bird-seed;;b3d-sid;;2
birthday;;birth-day;;b3T-d1;;2
birthrate;;birth-rate;;b3T-r1t;;2
biscuit;;bis-cuit;;bI-skIt;;2
bisection;;bi-sec-tion;;"b2-sEk-SH;;3
bisexual;;bi-sex-u-al;;"b2-sEk-S9l;;3
bisexual;;bi-sex-u-al;;"b2-sEk-S9l;;3
bisexually;;bi-sex-u-al-ly;;"b2-sEk-S9-lI;;4
bishop;;bish-op;;bI-S@p;;2
bismuth;;bis-muth;;bIz-m@T;;2
bison;;bi-son;;b2-sH;;2
bit;;bit;;bIt;;1
bitchily;;bitch-i-ly;;bI-JI-lI;;3
bite;;bite;;b2t;;1
bite on;;bite on;;b2t-Qn;;2
bit part;;bit part;;bIt-p#t;;2
bitter;;bit-ter;;bI-t@R;;2
bitterly;;bit-ter-ly;;bI-t@-lI;;3
bittersweet;;bit-ter-sweet;;bI-t@-swit;;3
bittiness;;bit-ti-ness;;bI-tI-nIs;;3
bitty;;bit-ty;;bI-tI;;2
bitumen;;bi-tu-men;;bI-tjU-mIn;;3
bituminous;;bi-tu-mi-nous;;bI-tju-mI-n@s;;4
bivouac;;biv-ou-ac;;bI-vU-{k;;3
biweekly;;bi-week-ly;;"b2-wik-lI;;3
bizarre;;bi-zarre;;bI-z#R;;2
bizarrely;;bi-zarre-ly;;bI-z#-lI;;3
bizonal;;bi-zon-al;;"b2-z5-nP;;3
blab;;blab;;bl{b;;1
black;;black;;bl{k;;1
black and tan;;black and tan;;"bl{k-{nd-t{n;;3
black art;;black art;;"bl{k-#t;;2
black belt;;black belt;;"bl{k-bElt;;2
blackberry;;black-ber-ry;;bl{k-b@-rI;;3
blackberrying;;black-ber-ry-ing;;bl{k-"bE-rI-IN;;4
blackbird;;black-bird;;bl{k-b3d;;2
black box;;black box;;"bl{k-bQks;;2
Black Country;;Black Coun-try;;bl{k-"kVn-trI;;3
blacken;;black-en;;bl{-k@n;;2
black eye;;black eye;;"bl{k-2;;2
black-eyed;;black--eyed;;bl{k-2d;;2
black flag;;black flag;;"bl{k-fl{g;;2
blackguard;;black-guard;;bl{-g#d;;2
black hole;;black hole;;"bl{k-h5l;;2
blacking;;black-ing;;bl{-kIN;;2
blacklist;;black-list;;bl{k-lIst;;2
blackmailer;;black-mail-er;;bl{k-m1-l@R;;3
Black Muslim;;Black Mus-lim;;"bl{k-mU-slIm;;3
blackness;;black-ness;;bl{k-nIs;;2
blackout;;black-out;;bl{k-6t;;2
Black Panther;;Black Pan-ther;;"bl{k-p{n-T@R;;3
black power;;black pow-er;;"bl{k-p6-@R;;3
black pudding;;black pud-ding;;"bl{k-pU-dIN;;3
black sheep;;black sheep;;"bl{k-Sip;;2
Blackshirt;;Black-shirt;;bl{k-S3t;;2
black spot;;black spot;;bl{k-spQt;;2
blackthorn;;black-thorn;;bl{k-T$n;;2
blackwater fever;;black-wa-ter fe-ver;;"bl{k-w$-t@-fi-v@R;;5
bladder;;blad-der;;bl{-d@R;;2
blah;;blah;;bl#;;1
blame;;blame;;bl1m;;1
blameless;;blame-less;;bl1m-lIs;;2
blamelessness;;blame-less-ness;;bl1m-lIs-nIs;;3
blameworthiness;;blame-wor-thi-ness;;bl1m-"w3-DI-nIs;;4
blameworthy;;blame-wor-thy;;bl1m-"w3-DI;;3
blancmange;;blanc-mange;;bl@-mQn_;;2
blandish;;blan-dish;;bl{n-dIS;;2
blank;;blank;;bl{Nk;;1
blank;;blank;;bl{Nk;;1
blank cartridge;;blank car-tridge;;"bl{Nk-k#-trI_;;3
blare;;blare;;bl8R;;1
blare out;;blare out;;"bl8-r6t;;2
blarney;;blar-ney;;bl#-nI;;2
blasphemer;;blas-phem-er;;bl{s-fi-m@R;;3
blasphemously;;blas-phe-mous-ly;;bl{s-f@-m@s-lI;;4
blast;;blast;;bl#st;;1
blast-off;;blast--off;;bl#st-Qf;;2
blast off;;blast off;;"bl#st-Qf;;2
blatant;;bla-tant;;bl1-t@nt;;2
blather;;blath-er;;bl{-D@R;;2
blaze;;blaze;;bl1z;;1
blaze;;blaze;;bl1z;;1
blazer;;blaz-er;;bl1-z@R;;2
blazon;;bla-zon;;bl1-zH;;2
blazon;;bla-zon;;bl1-zH;;2
blazonry;;bla-zon-ry;;bl1-z@n-rI;;3
bleach;;bleach;;bliJ;;1
bleat;;bleat;;blit;;1
bleed;;bleed;;blid;;1
bleeding;;bleed-ing;;bli-dIN;;2
bleeding heart;;bleed-ing heart;;"bli-dIN-h#t;;3
bleep;;bleep;;blip;;1
bleep;;bleep;;blip;;1
blemish;;blem-ish;;blE-mIS;;2
blench;;blench;;blEnJ;;1
blend;;blend;;blEnd;;1
blender;;blend-er;;blEn-d@R;;2
blessed;;bless-ed;;blE-sId;;2
Blessed Virgin Mary;;Bless-ed Vir-gin Ma-ry;;"blE-sId-v3-_In-m8-rI;;6
bless with;;bless with;;blEs-wID;;2
blether;;bleth-er;;blE-D@R;;2
blether;;bleth-er;;blE-D@R;;2
blight;;blight;;bl2t;;1
blighter;;blight-er;;bl2-t@R;;2
blimey;;bli-mey;;bl2-mI;;2
blimp;;blimp;;blImp;;1
Blimpish;;Blimp-ish;;blIm-pIS;;2
blind;;blind;;bl2nd;;1
blind;;blind;;bl2nd;;1
blind alley;;blind al-ley;;"bl2nd-{-lI;;3
blind date;;blind date;;"bl2nd-d1t;;2
blind drunk;;blind drunk;;"bl2nd-drVNk;;2
blinder;;blind-er;;bl2n-d@R;;2
blinders;;blind-ers;;bl2n-d@z;;2
blindly;;blind-ly;;bl2nd-lI;;2
blindness;;blind-ness;;bl2nd-nIs;;2
blind spot;;blind spot;;bl2nd-spQt;;2
blink;;blink;;blINk;;1
blink;;blink;;blINk;;1
blink away;;blink a-way;;"blINk-@-w1;;3
blinkers;;blink-ers;;blIN-k@z;;2
blinking;;blink-ing;;blIN-kIN;;2
bliss;;bliss;;blIs;;1
blissful;;bliss-ful;;blIs-fUl;;2
blissfulness;;bliss-ful-ness;;blIs-fUl-nIs;;3
blister;;blis-ter;;blI-st@R;;2
blistering;;blis-ter-ing;;blI-st@-rIN;;3
blithe;;blithe;;bl2D;;1
blithesome;;blithe-some;;bl2D-s@m;;2
blitz;;blitz;;blIts;;1
blizzard;;bliz-zard;;blI-z@d;;2
blob;;blob;;blQb;;1
block;;block;;blQk;;1
blockade;;block-ade;;blQ-k1d;;2
blockade;;block-ade;;blQ-k1d;;2
blockage;;block-age;;blQ-kI_;;2
block and tackle;;block and tack-le;;"blQk-{nd-t{-kP;;4
blockbuster;;block-bust-er;;blQk-bV-st@R;;3
block in;;block in;;"blQk-In;;2
block letters;;block let-ters;;"blQk-lE-t@z;;3
block out;;block out;;"blQk-6t;;2
bloke;;bloke;;bl5k;;1
blood;;blood;;blVd;;1
blood brother;;blood broth-er;;"blVd-brV-D@R;;3
bloodcurdling;;blood-cur-dling;;blVd-"k3-dP-IN;;4
blood-donor;;blood--do-nor;;blVd-"d5-n@R;;3
blood-heat;;blood--heat;;blVd-hit;;2
bloodhound;;blood-hound;;blVd-h6nd;;2
bloodily;;blood-i-ly;;blV-dI-lI;;3
bloodiness;;blood-i-ness;;blV-dI-nIs;;3
bloodless;;blood-less;;blVd-lIs;;2
bloodlessness;;blood-less-ness;;blVd-lIs-nIs;;3
blood-letting;;blood--let-ting;;blVd-"lE-tIN;;3
bloodlust;;blood-lust;;blVd-lVst;;2
blood-money;;blood--mon-ey;;blVd-"mV-nI;;3
blood red;;blood red;;"blVd-rEd;;2
blood-relation;;blood--re-la-tion;;blVd-rI-"l1-SH;;4
bloodstain;;blood-stain;;blVd-st1n;;2
bloodstained;;blood-stained;;blVd-st1nd;;2
bloodsucker;;blood-suck-er;;blVd-"sV-k@R;;3
bloodthirstiness;;blood-thirst-i-ness;;blVd-"T3-stI-nIs;;4
blood-vessel;;blood--ves-sel;;blVd-"vE-sP;;3
bloody;;blood-y;;blV-dI;;2
bloody;;blood-y;;blV-dI;;2
bloody-minded;;blood-y--mind-ed;;"blV-dI-m2n-dId;;4
blooming;;bloom-ing;;blu-mIN;;2
blossom;;blos-som;;blQ-s@m;;2
blot;;blot;;blQt;;1
blotch;;blotch;;blQJ;;1
blotchy;;blotch-y;;blQ-JI;;2
blot out;;blot out;;"blQt-6t;;2
blotter;;blot-ter;;blQ-t@R;;2
blow-by-blow;;blow--by--blow;;"bl5-b2-bl5;;3
blower;;blow-er;;bl5-@R;;2
blowfly;;blow-fly;;bl5-fl2;;2
blowhard;;blow-hard;;bl5-h#d;;2
blow in;;blow in;;"bl5-In;;2
blowing-up;;blow-ing--up;;"bl5-IN-Vp;;3
blow into;;blow in-to;;bl5-"In-tu;;3
blowlamp;;blow-lamp;;bl5-l{mp;;2
blow out;;blow out;;"bl5-6t;;2
blowpipe;;blow-pipe;;bl5-p2p;;2
blowtorch;;blow-torch;;bl5-t$J;;2
blowy;;blow-y;;bl5-I;;2
blowzy;;blowz-y;;bl6-zI;;2
blubber;;blub-ber;;blV-b@R;;2
bludgeon into;;bludg-eon in-to;;blV-_@n-"In-tu;;4
blue;;blue;;blu;;1
blue baby;;blue ba-by;;blu-"b1-bI;;3
bluebag;;blue-bag;;blu-b{g;;2
bluebeard;;blue-beard;;blu-"b7d;;2
bluebeard;;blue-beard;;blu-"b7d;;2
bluebell;;blue-bell;;blu-bEl;;2
blueberry;;blue-ber-ry;;blu-b@-rI;;3
bluebird;;blue-bird;;blu-b3d;;2
blue-blooded;;blue--blood-ed;;"blu-blV-dId;;3
blue cheese;;blue cheese;;"blu-Jiz;;2
blue chip;;blue chip;;"blu-JIp;;2
blue-collar;;blue--col-lar;;"blu-kQ-l@R;;3
blue film;;blue film;;"blu-fIlm;;2
blue gum;;blue gum;;blu-gVm;;2
bluejacket;;blue-jack-et;;blu-"_{-kIt;;3
blue law;;blue law;;blu-l$;;2
blue moon;;blue moon;;"blu-mun;;2
blue-pencil;;blue--pen-cil;;"blu-pEn-sP;;3
blueprint;;blue-print;;blu-prInt;;2
blues;;blues;;bluz;;1
bluestocking;;blue-stock-ing;;blu-"stQ-kIN;;3
bluff;;bluff;;blVf;;1
bluffer;;bluff-er;;blV-f@R;;2
bluff into;;bluff in-to;;blVf-"In-tu;;3
bluffly;;bluff-ly;;blVf-lI;;2
bluffness;;bluff-ness;;blVf-nIs;;2
blunder;;blun-der;;blVn-d@R;;2
blunderbuss;;blun-der-buss;;blVn-d@-bVs;;3
bluntly;;blunt-ly;;blVnt-lI;;2
bluntness;;blunt-ness;;blVnt-nIs;;2
blur;;blur;;bl3R;;1
blur;;blur;;bl3R;;1
blurb;;blurb;;bl3b;;1
blurt out;;blurt out;;"bl3t-6t;;2
blush;;blush;;blVS;;1
blush;;blush;;blVS;;1
blushing;;blush-ing;;blV-SIN;;2
blushingly;;blush-ing-ly;;blV-SIN-lI;;3
bluster;;blus-ter;;blV-st@R;;2
blustery;;blus-ter-y;;blV-st@-rI;;3
BO;;BO;;b5;;1
boar;;boar;;b$R;;1
boarder;;board-er;;b$-d@R;;2
boarding;;board-ing;;b$-dIN;;2
boarding-card;;board-ing--card;;b$-dIN-k#d;;3
boardinghouse;;board-ing-house;;b$-dIN-h6s;;3
boarding-school;;board-ing--school;;b$-dIN-skul;;3
boast;;boast;;b5st;;1
boast;;boast;;b5st;;1
boastfulness;;boast-ful-ness;;b5st-fUl-nIs;;3
boat;;boat;;b5t;;1
boater;;boat-er;;b5-t@R;;2
boat-hook;;boat--hook;;b5t-hUk;;2
boathouse;;boat-house;;b5t-h6s;;2
boatman;;boat-man;;b5t-m@n;;2
boat-train;;boat--train;;b5t-tr1n;;2
bob;;bob;;bQb;;1
Bob;;Bob;;bQb;;1
bobbin;;bob-bin;;bQ-bIn;;2
bobby;;bob-by;;bQ-bI;;2
bobby pin;;bob-by pin;;bQ-bI-pIn;;3
bobby-socks;;bob-by--socks;;bQ-bI-sQks;;3
bobby-soxer;;bob-by--sox-er;;bQ-bI-"sQk-s@R;;4
bobolink;;bob-o-link;;bQ-b@-lINk;;3
bobsled;;bob-sled;;bQb-slEd;;2
bobsled;;bob-sled;;bQb-slEd;;2
bobsleigh;;bob-sleigh;;bQb-sl1;;2
bobtail;;bob-tail;;bQb-t1l;;2
bobtailed;;bob-tailed;;bQb-t1ld;;2
bock;;bock;;bQk;;1
bod;;bod;;bQd;;1
bode;;bode;;b5d;;1
bodice;;bod-ice;;bQ-dIs;;2
bodily;;bod-i-ly;;bQ-dI-lI;;3
bodily;;bod-i-ly;;bQ-dI-lI;;3
bodyguard;;bod-y-guard;;bQ-dI-g#d;;3
body politic;;bod-y pol-i-tic;;"bQ-dI-pQ-l@-tIk;;5
body-servant;;bod-y--serv-ant;;bQ-dI-"s3-v@nt;;4
body-snatcher;;bod-y--snatch-er;;bQ-dI-"sn{-J@R;;4
body stocking;;bod-y stock-ing;;bQ-dI-"stQ-kIN;;4
bodywork;;bod-y-work;;bQ-dI-w3k;;3
Boer;;Boer;;b$R;;1
Boer;;Boer;;b$R;;1
bogey;;bo-gey;;b5-gI;;2
bogey;;bo-gey;;b5-gI;;2
boggy;;bog-gy;;bQ-gI;;2
boh;;boh;;b5;;1
boil;;boil;;b4l;;1
boil;;boil;;b4l;;1
boil down to;;boil down to;;"b4l-d6n-tu;;3
boiling;;boil-ing;;b4-lIN;;2
boiling-point;;boil-ing--point;;b4-lIN-p4nt;;3
boil up;;boil up;;"b4l-Vp;;2
boisterous;;bois-ter-ous;;b4-st@-r@s;;3
boisterously;;bois-ter-ous-ly;;b4-st@-r@s-lI;;4
boisterousness;;bois-ter-ous-ness;;b4-st@-r@s-nIs;;4
boldface;;bold-face;;b5ld-f1s;;2
boldfaced;;bold-faced;;b5ld-f1st;;2
bolero;;bo-le-ro;;b@-l8-r5;;3
bolero;;bo-le-ro;;bQ-l@-r5;;3
boll;;boll;;b5l;;1
bollard;;bol-lard;;bQ-l#d;;2
bollocks;;bol-locks;;bQ-l@ks;;2
bollocks-up;;bol-locks--up;;bQ-l@ks-Vp;;3
boll weevil;;boll wee-vil;;"b5l-wi-vP;;3
boloney;;bo-lo-ney;;b@-l5-nI;;3
Bolshevik;;Bol-she-vik;;bQl-SI-vIk;;3
bolshy;;bol-shy;;bQl-SI;;2
bolster up;;bol-ster up;;"b5l-st@-rVp;;3
bolt;;bolt;;b5lt;;1
bolt;;bolt;;b5lt;;1
bolthole;;bolt-hole;;b5lt-h5l;;2
bomb;;bomb;;bQm;;1
bomb;;bomb;;bQm;;1
bombard;;bom-bard;;bQm-b#d;;2
bombardier;;bom-bar-dier;;"bQm-b@-d7R;;3
bombardment;;bom-bard-ment;;bQm-b#d-m@nt;;3
bombast;;bom-bast;;bQm-b{st;;2
bombastic;;bom-bas-tic;;bQm-b{-stIk;;3
bombastically;;bom-bas-ti-cal-ly;;bQm-b{-stI-klI;;4
bomb disposal squad;;bomb dis-pos-al squad;;bQm-dI-"sp5-zP-skwQd;;5
bomber;;bomb-er;;bQ-m@R;;2
bombproof;;bomb-proof;;bQm-pruf;;2
bombshell;;bomb-shell;;bQm-SEl;;2
bomb up;;bomb up;;"bQm-Vp;;2
bona fide;;bo-na fide;;"b5-n@-f2-dI;;4
bonanza;;bo-nan-za;;b5-n{n-z@;;3
bonbon;;bon-bon;;bQn-bQn;;2
bonded;;bond-ed;;bQn-dId;;2
bonded warehouse;;bond-ed ware-house;;"bQn-dId-w8-h6s;;4
bonds;;bonds;;bQndz;;1
bone;;bone;;b5n;;1
bone;;bone;;b5n;;1
bone china;;bone chi-na;;"b5n-J2-n@;;3
boned;;boned;;b5nd;;1
bone-dry;;bone--dry;;"b5n-dr2;;2
bone-idle;;bone--i-dle;;"b5n-2-dP;;3
bone-lazy;;bone--la-zy;;"b5n-l1-zI;;3
boneless;;bone-less;;b5n-lIs;;2
bonemeal;;bone-meal;;b5n-mil;;2
boneshaker;;bone-shak-er;;b5n-"S1-k@R;;3
bonfire;;bon-fire;;bQn-"f2-@R;;3
bongo;;bon-go;;bQN-g5;;2
bongo drum;;bon-go drum;;bQN-g5-drVm;;3
bonhomie;;bon-ho-mie;;bQ-n@-mi;;3
bonkers;;bon-kers;;bQN-k@z;;2
bonnet;;bon-net;;bQ-nIt;;2
bonsai;;bon-sai;;bQn-s2;;2
boo;;boo;;bu;;1
boo;;boo;;bu;;1
boob;;boob;;bub;;1
boobs;;boobs;;bubz;;1
booby;;boo-by;;bu-bI;;2
booby prize;;boo-by prize;;bu-bI-pr2z;;3
booby-trap;;boo-by--trap;;bu-bI-tr{p;;3
boogie-woogie;;boog-ie--woog-ie;;bu-gI-"wu-gI;;4
boohoo;;boo-hoo;;"bu-hu;;2
boohoo;;boo-hoo;;"bu-hu;;2
book;;book;;bUk;;1
book;;book;;bUk;;1
bookable;;book-a-ble;;bU-k@-bP;;3
bookbinder;;book-bind-er;;bUk-"b2n-d@R;;3
bookbinding;;book-bind-ing;;bUk-"b2n-dIN;;3
bookclub;;book-club;;bUk-klVb;;2
bookend;;book-end;;bUk-End;;2
bookie;;book-ie;;bUk-I;;2
book in;;book in;;"bUk-In;;2
booking clerk;;book-ing clerk;;bU-kIN-kl#k;;3
bookishly;;book-ish-ly;;bU-kIS-lI;;3
bookkeeping;;book-keep-ing;;bUk-"ki-pIN;;3
book learning;;book learn-ing;;bUk-"l3-nIN;;3
bookmaker;;book-mak-er;;bUk-"m1-k@R;;3
books;;books;;bUks;;1
bookseller;;book-sell-er;;bUk-"sE-l@R;;3
bookshop;;book-shop;;bUk-SQp;;2
bookstall;;book-stall;;bUk-st$l;;2
book token;;book to-ken;;bUk-"t5-k@n;;3
book up;;book up;;"bUk-Vp;;2
bookwork;;book-work;;bUk-w3k;;2
boomerang;;boom-er-ang;;bu-m@-r{N;;3
boomerang;;boom-er-ang;;bu-m@-r{N;;3
boom out;;boom out;;"bum-6t;;2
boom town;;boom town;;bum-t6n;;2
boor;;boor;;b9R;;1
boorishly;;boor-ish-ly;;b9-rIS-lI;;3
boot;;boot;;but;;1
boot;;boot;;but;;1
bootblack;;boot-black;;but-bl{k;;2
booted;;boot-ed;;bu-tId;;2
booth;;booth;;buD;;1
bootlegger;;boot-leg-ger;;but-"lE-g@R;;3
boots;;boots;;buts;;1
booze;;booze;;buz;;1
boozily;;booz-i-ly;;bu-zI-lI;;3
bopeep;;bo-peep;;"b5-pip;;2
boracic;;bo-rac-ic;;b@-r{-sIk;;3
boracic acid;;bo-rac-ic ac-id;;b@-"r{-sIk-{-sId;;5
borax;;bo-rax;;b$-r{ks;;2
Bordeaux;;Bor-deaux;;b$-d5;;2
bordello;;bor-del-lo;;b$-dE-l5;;3
border;;bor-der;;b$-d@R;;2
Border;;Bor-der;;b$-d@R;;2
borderland;;bor-der-land;;b$-d@-l{nd;;3
borderline;;bor-der-line;;b$-d@-l2n;;3
borderline;;bor-der-line;;b$-d@-l2n;;3
border on;;bor-der on;;b$-d@-rQn;;3
border upon;;bor-der up-on;;b$-d@-r@-"pQn;;4
bore;;bore;;b$R;;1
boredom;;bore-dom;;b$-d@m;;2
boric acid;;bo-ric ac-id;;"b$-rIk-{-sId;;4
boring;;bor-ing;;b$-rIN;;2
borne in upon;;borne in up-on;;"b$n-In-@-"pQn;;4
boron;;bo-ron;;b$-rQn;;2
borough;;bor-ough;;bV-r@;;2
borrow;;bor-row;;bQ-r5;;2
borsch;;borsch;;b$S;;1
borscht;;borscht;;b$st;;1
borzoi;;bor-zoi;;b$-z4;;2
bosh;;bosh;;bQS;;1
bosh;;bosh;;bQS;;1
bosk;;bosk;;bQsk;;1
bosky;;bosk-y;;bQ-skI;;2
bosom;;bos-om;;bU-z@m;;2
boss;;boss;;bQs;;1
boss;;boss;;bQs;;1
boss-eyed;;boss--eyed;;bQs-2d;;2
bossiness;;boss-i-ness;;bQ-sI-nIs;;3
Boston;;Bos-ton;;bQ-st@n;;2
botch;;botch;;bQJ;;1
botch;;botch;;bQJ;;1
botcher;;botch-er;;bQ-J@R;;2
both;;both;;b5T;;1
bottle;;bot-tle;;bQ-tP;;2
bottle-feed;;bot-tle--feed;;bQ-tP-fid;;3
bottleful;;bot-tle-ful;;bQ-tP-fUl;;3
bottle up;;bot-tle up;;"bQ-tP-Vp;;3
botulism;;bot-u-lism;;bQ-tjU-lI-z@m;;4
boudoir;;bou-doir;;bu-dw#R;;2
bougainvillaea;;bou-gain-vil-lae-a;;"bu-g@n-vI-l7;;4
bougainvillea;;bou-gain-vil-lea;;"bu-g@n-vI-l7;;4
bough;;bough;;b6;;1
boulder;;boul-der;;b5l-d@R;;2
boulevard;;boul-e-vard;;bu-l@-v#d;;3
bounce;;bounce;;b6ns;;1
bounce;;bounce;;b6ns;;1
bouncer;;bounc-er;;b6n-s@R;;2
bouncily;;bounc-i-ly;;b6n-sI-lI;;3
bound;;bound;;b6nd;;1
bound;;bound;;b6nd;;1
boundary;;bound-a-ry;;b6n-d@-rI;;3
boundlessness;;bound-less-ness;;b6nd-lIs-nIs;;3
bountiful;;boun-ti-ful;;b6n-tI-fUl;;3
bountifully;;boun-ti-ful-ly;;b6n-tI-fU-lI;;4
bounty;;boun-ty;;b6n-tI;;2
bourgeois;;bour-geois;;b$-Zw#;;2
bourn;;bourn;;b$n;;1
bourse;;bourse;;b9s;;1
boutique;;bou-tique;;bu-tik;;2
bouzouki;;bou-zou-ki;;bu-zu-kI;;3
bovine;;bo-vine;;b5-v2n;;2
Bovril;;Bov-ril;;bQ-vr@l;;2
bovver;;bov-ver;;bQ-v@R;;2
bow;;bow;;b5;;1
bow;;bow;;b5;;1
Bowdler;;Bowd-ler;;b6d-l@R;;2
bowels;;bow-els;;b6-@lz;;2
bower;;bow-er;;b6-@R;;2
bowie knife;;bow-ie knife;;b5-I-n2f;;3
bowing;;bow-ing;;b5-IN;;2
bowl;;bowl;;b5l;;1
bowl along;;bowl a-long;;"b5l-@-lQN;;3
bow-legged;;bow--leg-ged;;b5-lEgd;;2
bowler;;bowl-er;;b5-l@R;;2
bowlful;;bowl-ful;;b5l-fUl;;2
bowline;;bow-line;;b5-lIn;;2
bowling;;bowl-ing;;b5-lIN;;2
bowling alley;;bowl-ing al-ley;;b5-lIN-"{-lI;;4
bowls;;bowls;;b5lz;;1
bow out;;bow out;;"b6-6t;;2
bowser;;bow-ser;;b6-z@R;;2
bowsprit;;bow-sprit;;b5-sprIt;;2
bow tie;;bow tie;;"b5-t2;;2
bow to;;bow to;;b6-tu;;2
bow window;;bow win-dow;;"b5-wIn-d5;;3
box;;box;;bQks;;1
box;;box;;bQks;;1
boxer;;box-er;;bQk-s@R;;2
boxful;;box-ful;;bQks-fUl;;2
boxing;;box-ing;;bQk-sIN;;2
box off;;box off;;"bQks-Qf;;2
boy;;boy;;b4;;1
boycott;;boy-cott;;b4-kQt;;2
boyish;;boy-ish;;b4-IS;;2
boyishly;;boy-ish-ly;;b4-IS-lI;;3
boyishness;;boy-ish-ness;;b4-IS-nIs;;3
boys;;boys;;b4z;;1
boy scout;;boy scout;;"b4-sk6t;;2
BR;;BR;;"brI-tIS-r1l;;3
bra;;bra;;br#;;1
bracelets;;brace-lets;;br1-slIts;;2
braces;;brac-es;;br1-sIz;;2
bracken;;brack-en;;br{-k@n;;2
bracket;;brack-et;;br{-kIt;;2
bracket;;brack-et;;br{-kIt;;2
brackish;;brack-ish;;br{-kIS;;2
bract;;bract;;br{kt;;1
bradawl;;brad-awl;;br{d-$l;;2
brae;;brae;;br1;;1
brag;;brag;;br{g;;1
brag;;brag;;br{g;;1
Brahmin;;Brah-min;;br#-mIn;;2
braid;;braid;;br1d;;1
braille;;braille;;br1l;;1
brainchild;;brain-child;;br1n-J2ld;;2
brainless;;brain-less;;br1n-lIs;;2
brains;;brains;;br1nz;;1
brainstorm;;brain-storm;;br1n-st$m;;2
brains trust;;brains trust;;br1nz-trVst;;2
brainwash;;brain-wash;;br1n-wQS;;2
brainwave;;brain-wave;;br1n-w1v;;2
brainy;;brain-y;;br1-nI;;2
braise;;braise;;br1z;;1
brake;;brake;;br1k;;1
brake horsepower;;brake horse-pow-er;;"br1k-h$s-"p6-@R;;4
bran;;bran;;br{n;;1
branch;;branch;;br#nJ;;1
brand;;brand;;br{nd;;1
brand as;;brand as;;br{nd-{z;;2
branding-iron;;brand-ing--i-ron;;br{n-dIN-"2-@n;;4
brandish;;bran-dish;;br{n-dIS;;2
brandy-ball;;bran-dy--ball;;br{n-dI-b$l;;3
bran-new;;bran--new;;"br{n-nju;;2
brash;;brash;;br{S;;1
brashly;;brash-ly;;br{S-lI;;2
brashness;;brash-ness;;br{S-nIs;;2
brass;;brass;;br#s;;1
brassed off;;brassed off;;"br#st-Qf;;2
brasserie;;bras-se-rie;;br{-s@-rI;;3
brass hat;;brass hat;;"br#s-h{t;;2
brass knuckles;;brass knuck-les;;br#s-"nV-kPz;;3
brass-monkey;;brass--mon-key;;"br#s-mVN-kI;;3
brass tacks;;brass tacks;;"br#s-t{ks;;2
brassy;;brass-y;;br#-sI;;2
brat;;brat;;br{t;;1
bravado;;bra-va-do;;br@-v#-d5;;3
brave;;brave;;br1v;;1
bravely;;brave-ly;;br1v-lI;;2
bravery;;brav-er-y;;br1-v@-rI;;3
bravo;;bra-vo;;"br#-v5;;2
brawl;;brawl;;br$l;;1
brawl;;brawl;;br$l;;1
brawler;;brawl-er;;br$-l@R;;2
brawniness;;brawn-i-ness;;br$-nI-nIs;;3
bray;;bray;;br1;;1
braze;;braze;;br1z;;1
brazen;;bra-zen;;br1-zH;;2
brazen-faced;;bra-zen--faced;;br1-zH-f1st;;3
brazenly;;bra-zen-ly;;br1-zH-lI;;3
brazier;;bra-zier;;br1-zj@R;;2
Brazil;;Bra-zil;;br@-zIl;;2
Brazilian;;Bra-zil-ian;;br@-zI-lj@n;;3
Brazilian;;Bra-zil-ian;;br@-zI-lj@n;;3
BrE;;BrE;;"brI-tIS-IN-glIS;;4
